,rank,fingerprint
PubchemFP357,88,C(~C)(:C)(:N) 
PubchemFP680,89,O-C-C-C-C-C 
PubchemFP784,90,OC1CCC(N)CC1 
PubchemFP623,91,O=C-C:C-C 
PubchemFP666,92,C=C-C-O-C 
PubchemFP535,93,O=C-C-C 
PubchemFP146,94,>= 1 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP503,95,Cl-C:C-[#1] 
PubchemFP260,96,>= 3 hetero-aromatic rings 
PubchemFP13,97,>= 32 C 
PubchemFP397,98,N(~C)(:C)(:C) 
PubchemFP400,99,N(~H)(:C)(:C) 
PubchemFP215,100,>= 1 saturated or aromatic nitrogen-containing ring size 7 
PubchemFP467,101,C=N-N-C 
PubchemFP368,102,C(~H)(~S) 
PubchemFP485,103,N:C:C:N 
PubchemFP341,104,C(~C)(~C)(~O) 
PubchemFP704,105,O=C-C-C-C-C-C-C 
PubchemFP615,106,N-C-C-O-C 
PubchemFP593,107,N-C-C-C-N 
PubchemFP362,108,C(~Cl)(:C) 
PubchemFP145,109,>= 1 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP609,110,Cl-C-C-N-C 
PubchemFP392,111,N(~C)(~C)(~H) 
PubchemFP187,112,>= 2 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP522,113,C-N-N-[#1] 
PubchemFP800,114,CC1CC(N)CCC1 
PubchemFP638,115,O-C-C-C-N 
PubchemFP259,116,>= 3 aromatic rings 
PubchemFP2,117,>= 16 H 
PubchemFP33,118,>= 1 S 
PubchemFP44,119,>= 2 Br 
PubchemFP185,120,>= 2 any ring size 6 
PubchemFP674,121,N-C-N-C:C 
PubchemFP590,122,C-C:C-O-[#1] 
PubchemFP755,123,Cc1c(C)cccc1 
PubchemFP574,124,O-C-C:C-C 
PubchemFP601,125,N-C:C:C-N 
PubchemFP637,126,O-C-C-C-C 
PubchemFP688,127,C-C-C-C-C-C-C 
PubchemFP345,128,C(~C)(~H)(~N) 
PubchemFP157,129,>= 3 any ring size 5 
PubchemFP654,130,N-C-N-C-C 
PubchemFP398,131,N(~H)(~N) 
PubchemFP349,132,C(~C)(~H)(~S) 
PubchemFP776,133,CC1CCC(C)CC1 
PubchemFP819,134,CC1C(O)CCCC1 
PubchemFP699,135,O-C-C-C-C-C(C)-C 
PubchemFP659,136,O-C-C-N-C 
PubchemFP671,137,O=C-C=C-C 
PubchemFP445,138,C(-H)(-N)(=C) 
PubchemFP709,139,C-C(C)-C-C-C 
PubchemFP791,140,NC1CCC(N)CC1 
PubchemFP539,141,N=C-C-[#1] 
PubchemFP710,142,C-C-C(C)-C-C 
PubchemFP422,143,N=N 
PubchemFP206,144,>= 5 any ring size 6 
PubchemFP617,145,C-C-C-O-[#1] 
PubchemFP443,146,C(-C)(=O) 
PubchemFP586,147,C-S-C-C-C 
PubchemFP383,148,C(~S)(:C) 
PubchemFP516,149,[#1]-C=C-[#1] 
PubchemFP591,150,Cl-C-C-C-C 
PubchemFP493,151,O=C-C:C 
PubchemFP728,152,Nc1ccc(N)cc1 
PubchemFP346,153,C(~C)(~H)(~O) 
PubchemFP17,154,>= 8 N 
PubchemFP702,155,O-C-C-C-C-C-N-C 
PubchemFP571,156,[#1]-C-O-[#1] 
PubchemFP144,157,>= 1 saturated or aromatic carbon-only ring size 5 
PubchemFP16,158,>= 4 N 
PubchemFP194,159,>= 3 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP450,160,C(-N)(=N) 
PubchemFP576,161,N=C-C:C-[#1] 
PubchemFP707,162,O=C-C-C-C-C(N)-C 
PubchemFP375,163,C(~N)(~N) 
PubchemFP822,164,CC1C(Cl)CCCC1 
PubchemFP594,165,C-O-C-C=C 
PubchemFP420,166,C=O 
PubchemFP644,167,C-C=N-N-C 
PubchemFP459,168,S(=O)(=O) 
PubchemFP818,169,CC1C(C)CCCC1 
PubchemFP652,170,O-C:C:C-N 
PubchemFP353,171,C(~C)(~S) 
PubchemFP565,172,C:C-O-C 
PubchemFP684,173,O=C-C-C-C-C 
PubchemFP517,174,N-N-C-N 
PubchemFP404,175,N(:C)(:C)(:C) 
PubchemFP335,176,C(~C)(~C)(~C)(~H) 
PubchemFP429,177,C(#N)(-C) 
PubchemFP639,178,O-C-C-C-O 
PubchemFP713,179,Cc1ccc(C)cc1 
PubchemFP394,180,N(~C)(~H)(~N) 
PubchemFP721,181,Oc1ccc(N)cc1 
PubchemFP195,182,>= 3 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP531,183,S-C:C-C 
PubchemFP711,184,C-C(C)(C)-C-C 
PubchemFP777,185,CC1CCC(O)CC1 
PubchemFP568,186,N#C-C-C 
PubchemFP656,187,C-C-N-C-C 
PubchemFP396,188,N(~C)(:C) 
PubchemFP515,189,N-N-C-C 
PubchemFP300,190,N-N 
PubchemFP619,191,O-C-C=C-C 
PubchemFP519,192,N=C-N-C 
PubchemFP457,193,S(-C)(=O) 
PubchemFP487,194,N-C=N-C 
PubchemFP632,195,C-C-O-C:C 
PubchemFP491,196,C-N:C-[#1] 
PubchemFP500,197,C-S-C:C 
PubchemFP181,198,>= 1 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP685,199,O=C-C-C-C-N 
PubchemFP553,200,O=C-C=C 
PubchemFP20,201,>= 4 O 
PubchemFP536,202,O=C-C-N 
PubchemFP602,203,O=C-C-N-C 
PubchemFP596,204,N=C-N-C-C 
PubchemFP616,205,C:C:N:N:C 
PubchemFP507,206,C-C-S-C 
PubchemFP548,207,O-C-C:C 
PubchemFP653,208,O-C:C:C-O 
PubchemFP381,209,C(~O)(:C) 
PubchemFP604,210,C-O-C-C:C 
